InnerIters,OuterIters,PicardIters,ResidualReductions,SimTime
8,1,1,8.777862422369207e-09,100.0
8,1,2,8.48912524114733e-09,100.0
9,5,3,2.7118728413541516e-09,100.0
9,5,4,3.6115967621411672e-09,100.0
9,2,1,2.6910238145941627e-09,200.0
9,2,2,2.2724134604383417e-09,200.0
9,4,3,9.194327754775093e-09,200.0
9,5,4,4.979157995842214e-09,200.0
9,2,1,3.4905065268484347e-09,300.0
9,2,2,3.0285844460953134e-09,300.0
9,4,3,7.985944655445998e-09,300.0
9,5,4,2.912765812745755e-09,300.0
9,2,1,4.3108638198505795e-09,400.0
9,2,2,3.783542105340994e-09,400.0
9,5,3,1.762724631869028e-09,400.0
9,5,4,5.977749736124577e-09,400.0
9,2,1,4.998743253910684e-09,500.0
9,2,2,4.407391391321472e-09,500.0
9,5,3,1.6620696612207517e-09,500.0
9,5,4,4.718757290005654e-09,500.0
9,2,1,5.596960980719291e-09,600.0
9,2,2,4.959219718635792e-09,600.0
9,5,3,1.6413998482498038e-09,600.0
9,5,4,4.953362697064032e-09,600.0
9,2,1,6.204138308292533e-09,700.0
9,2,2,5.4977800634335265e-09,700.0
9,5,3,2.0069602657394404e-09,700.0
9,5,4,6.2107071261709054e-09,700.0
9,2,1,6.6440492928733136e-09,800.0
9,2,2,5.928640254446747e-09,800.0
9,5,3,1.890105510929712e-09,800.0
9,5,4,5.4479235394775056e-09,800.0
9,2,1,7.216774192651646e-09,900.0
9,2,2,6.424295831175847e-09,900.0
9,5,3,2.030589023565522e-09,900.0
9,5,4,7.025883888709365e-09,900.0
9,2,1,7.802778351562208e-09,1000.0
9,2,2,6.947073893862591e-09,1000.0
9,5,3,2.374621602853425e-09,1000.0
9,5,4,6.3517287228609535e-09,1000.0
9,2,1,8.324057467098713e-09,1100.0
9,2,2,7.431065566154661e-09,1100.0
9,5,3,2.2140068469144977e-09,1100.0
9,5,4,6.363000336942239e-09,1100.0
9,2,1,8.982224219838456e-09,1200.0
9,2,2,8.00663473367563e-09,1200.0
9,5,3,2.2567768525225774e-09,1200.0
9,5,4,7.434009395891249e-09,1200.0
9,2,1,9.591099885388751e-09,1300.0
9,2,2,8.571612304837699e-09,1300.0
9,5,3,2.554083947194734e-09,1300.0
9,5,4,6.4737410114240375e-09,1300.0
9,3,1,2.304405610906426e-09,1400.0
9,2,2,9.977589078457727e-09,1400.0
9,5,3,2.0405738567987986e-09,1400.0
9,5,4,9.830631121170932e-09,1400.0
9,3,1,2.387731573190944e-09,1500.0
9,3,2,2.3644072696936927e-09,1500.0
9,4,3,4.347189203386017e-09,1500.0
9,5,4,6.34379278201574e-09,1500.0
9,3,1,2.5930798535757817e-09,1600.0
9,3,2,2.566863553480411e-09,1600.0
9,4,3,4.546629759146811e-09,1600.0
9,5,4,5.3632880249945664e-09,1600.0
9,3,1,2.7091267817526334e-09,1700.0
9,3,2,2.6786376460135104e-09,1700.0
9,4,3,4.4919332512491304e-09,1700.0
9,5,4,6.806772993686587e-09,1700.0
9,3,1,2.837323753116586e-09,1800.0
9,3,2,2.80601306537488e-09,1800.0
9,4,3,4.564222797117949e-09,1800.0
9,5,4,6.3952302482616156e-09,1800.0
9,3,1,3.0126587250840567e-09,1900.0
9,3,2,2.9812391575337407e-09,1900.0
9,4,3,4.872796135543242e-09,1900.0
9,5,4,6.5021365890149015e-09,1900.0
9,3,1,3.1105630615124493e-09,2000.0
9,3,2,3.080521181931319e-09,2000.0
9,4,3,4.9515373199169996e-09,2000.0
9,5,4,7.418501076545292e-09,2000.0
9,3,1,3.255047752413638e-09,2100.0
9,3,2,3.222852406180042e-09,2100.0
9,4,3,5.076964260759576e-09,2100.0
9,5,4,6.97793026494196e-09,2100.0
9,3,1,3.446401678844083e-09,2200.0
9,3,2,3.4112184915322237e-09,2200.0
9,4,3,5.359926682778235e-09,2200.0
9,5,4,8.226460978965356e-09,2200.0
9,3,1,3.566584626398744e-09,2300.0
9,3,2,3.528818606830906e-09,2300.0
9,4,3,5.423218140961972e-09,2300.0
9,5,4,7.898293692720417e-09,2300.0
9,3,1,3.7315875422072315e-09,2400.0
9,3,2,3.6856360615808624e-09,2400.0
9,4,3,5.492932586893613e-09,2400.0
9,5,4,8.460643119095583e-09,2400.0
9,3,1,3.9404375123016825e-09,2500.0
9,3,2,3.890884932391014e-09,2500.0
9,4,3,5.6186356407811236e-09,2500.0
9,5,4,9.494014872542694e-09,2500.0
