InnerIters,OuterIters,PicardIters,ResidualReductions,SimTime
5,10,1,8.058267408287217e-10,28.125
5,10,2,1.480707280345923e-08,28.125
5,10,3,7.132580632067386e-10,28.125
5,10,4,1.401002262778816e-09,28.125
5,10,1,6.36294459775078e-10,56.25
5,10,2,6.365848983689845e-10,56.25
5,10,3,6.432972038151446e-10,56.25
5,9,4,2.075804736667401e-09,56.25
5,10,1,8.16601971636695e-10,84.375
5,10,2,8.186170169395709e-10,84.375
5,10,3,6.945446902896162e-10,84.375
5,9,4,2.1032379564652218e-09,84.375
5,10,1,1.1243967752522805e-09,112.5
5,10,2,1.124226737631489e-09,112.5
5,10,3,8.697004800627869e-10,112.5
5,9,4,5.375841572855671e-09,112.5
5,10,1,7.378932232981407e-10,140.625
5,10,2,7.340902066181919e-10,140.625
5,10,3,8.973340869955445e-10,140.625
5,10,4,1.7281908269453152e-09,140.625
5,10,1,6.958916366685809e-10,168.75
5,10,2,6.967010730226178e-10,168.75
5,10,3,6.365860892534724e-10,168.75
5,9,4,1.8018184085274448e-09,168.75
5,10,1,9.08932927503189e-10,196.875
5,10,2,9.106256644800376e-10,196.875
5,10,3,7.55091500372207e-10,196.875
5,9,4,2.4548902821674957e-09,196.875
5,10,1,1.0971639124354522e-09,225.0
5,10,2,1.0972057309684767e-09,225.0
5,10,3,1.1315463913785663e-09,225.0
5,10,4,2.829028472004722e-09,225.0
5,10,1,8.226050675014538e-10,253.125
5,10,2,8.185283967289072e-10,253.125
5,10,3,1.0268675062607365e-09,253.125
5,10,4,1.6852862460120534e-09,253.125
5,10,1,8.609813483159476e-10,281.25
5,10,2,8.620783763579561e-10,281.25
5,10,3,7.236608123548303e-10,281.25
5,9,4,2.0782753780223006e-09,281.25
5,10,1,1.104528302865825e-09,309.375
5,10,2,1.1093107549607767e-09,309.375
5,10,3,7.599514114401889e-10,309.375
5,9,4,2.9247861345155857e-09,309.375
5,10,1,1.0373378903101472e-09,337.5
5,10,2,1.0316068584664683e-09,337.5
5,10,3,8.549053165825947e-10,337.5
5,10,4,2.2448528996089486e-09,337.5
5,10,1,7.970143426414528e-10,365.625
5,10,2,7.967773388699973e-10,365.625
5,10,3,9.604522863713435e-10,365.625
5,10,4,1.8966356546343597e-09,365.625
5,10,1,9.038818522411828e-10,393.75
5,10,2,9.031726736609863e-10,393.75
5,10,3,8.357941806668113e-10,393.75
5,9,4,2.692277501572173e-09,393.75
5,10,1,1.0199783497362993e-09,421.875
5,10,2,1.020839428486e-09,421.875
5,10,3,8.962335242485614e-10,421.875
5,9,4,2.9824153739113715e-09,421.875
5,10,1,9.842297836727566e-10,450.0
5,10,2,9.81643839197075e-10,450.0
5,10,3,9.196352689782703e-10,450.0
5,10,4,2.228523859003155e-09,450.0
5,10,1,9.359508796977352e-10,478.125
5,10,2,9.336824897491318e-10,478.125
5,10,3,9.696897065153362e-10,478.125
5,10,4,2.3498947831576803e-09,478.125
5,10,1,9.8421083842434e-10,506.25
5,10,2,9.861034848677254e-10,506.25
5,10,3,9.015698279297637e-10,506.25
5,9,4,3.3156256206308464e-09,506.25
5,10,1,1.078469675690262e-09,534.375
5,10,2,1.0775715621420365e-09,534.375
5,10,3,9.012460188975966e-10,534.375
5,9,4,3.1696946202223664e-09,534.375
5,10,1,1.0594005812020359e-09,562.5
5,10,2,1.0565390951213728e-09,562.5
5,10,3,9.451549888718974e-10,562.5
5,10,4,2.5086236163758045e-09,562.5
5,10,1,1.0239118953577646e-09,590.625
5,10,2,1.0215425632586048e-09,590.625
5,10,3,1.0414814038695456e-09,590.625
5,10,4,2.9450486928251374e-09,590.625
5,10,1,9.37030320728051e-10,618.75
5,10,2,9.358294051776275e-10,618.75
5,10,3,1.0040927926210012e-09,618.75
5,10,4,3.1758818349736212e-09,618.75
5,10,1,9.39843505400931e-10,646.875
5,10,2,9.400668873371491e-10,646.875
5,10,3,9.684681396474884e-10,646.875
5,10,4,2.8763491279042692e-09,646.875
5,10,1,9.812248318833522e-10,675.0
5,10,2,9.818584238080003e-10,675.0
5,10,3,9.99664153088573e-10,675.0
5,9,4,3.3987659855559498e-09,675.0
5,10,1,9.823682743050374e-10,703.125
5,10,2,9.825767843968867e-10,703.125
5,10,3,1.140728020115735e-09,703.125
5,10,4,3.4673322176618816e-09,703.125
5,10,1,9.57259036549076e-10,731.25
5,10,2,9.55870666586616e-10,731.25
5,10,3,1.0911153284395744e-09,731.25
5,10,4,3.3903383117776267e-09,731.25
5,10,1,9.552745431250928e-10,759.375
5,10,2,9.543668292401486e-10,759.375
5,10,3,1.0591501484094744e-09,759.375
5,10,4,3.3144788392336285e-09,759.375
5,10,1,9.487288307608232e-10,787.5
5,10,2,9.483924664627146e-10,787.5
5,10,3,1.0851242552370256e-09,787.5
5,10,4,3.65554454185647e-09,787.5
5,10,1,8.365675507879224e-10,815.625
5,10,2,8.366565422336169e-10,815.625
5,10,3,1.1791239322840919e-09,815.625
5,9,4,4.325173089138861e-09,815.625
5,10,1,8.947821374443943e-10,843.75
5,10,2,8.900686493814232e-10,843.75
5,10,3,1.2066682134403523e-09,843.75
5,10,4,3.738502590251136e-09,843.75
5,10,1,9.028395889665273e-10,871.875
5,10,2,9.01580012740901e-10,871.875
5,10,3,1.2071487734652215e-09,871.875
5,10,4,3.93928276099326e-09,871.875
5,10,1,8.405543738419174e-10,900.0
5,10,2,8.386546565923211e-10,900.0
5,10,3,1.2024218564290219e-09,900.0
5,10,4,4.269457167367465e-09,900.0
5,10,1,7.710205334750579e-10,928.125
5,10,2,7.71398719202771e-10,928.125
5,10,3,1.1273098757825057e-09,928.125
5,10,4,4.207451696590569e-09,928.125
