InnerIters,OuterIters,PicardIters,ResidualReductions,SimTime
5,9,1,1.728212502713295e-06,62.5
5,9,2,1.746982096993627e-06,62.5
5,9,3,1.197815456405829e-06,62.5
5,9,4,1.2272514495677582e-06,62.5
5,9,1,2.1110814367269173e-06,125.0
5,9,2,2.111846136563784e-06,125.0
5,9,3,8.495144119293887e-07,125.0
5,9,4,1.0978902414187862e-06,125.0
5,9,1,1.7563308385079615e-06,187.5
5,9,2,1.7739485012533246e-06,187.5
5,9,3,1.244924327434078e-06,187.5
5,9,4,1.3143673431324314e-06,187.5
5,9,1,2.062495869153622e-06,250.0
5,9,2,2.070966321275998e-06,250.0
5,9,3,9.071359470577832e-07,250.0
5,9,4,1.1051382321145576e-06,250.0
5,9,1,1.8075693823960743e-06,312.5
5,9,2,1.8216075393505704e-06,312.5
5,9,3,1.278247162321076e-06,312.5
5,9,4,1.372725347301339e-06,312.5
5,9,1,1.999021745945239e-06,375.0
5,9,2,2.0106985212380185e-06,375.0
5,9,3,9.115946284366213e-07,375.0
5,9,4,1.108160401625895e-06,375.0
5,9,1,1.8309797337487015e-06,437.5
5,9,2,1.8459336138405405e-06,437.5
5,9,3,1.2429615079927296e-06,437.5
5,9,4,1.2540094247961446e-06,437.5
5,9,1,2.017599937840982e-06,500.0
5,9,2,2.0240879515809975e-06,500.0
5,9,3,9.57529142724983e-07,500.0
5,9,4,1.1122332032738394e-06,500.0
5,9,1,1.8828971564729797e-06,562.5
5,9,2,1.8919670602215821e-06,562.5
5,9,3,1.1803561857190039e-06,562.5
5,9,4,1.1776658795075394e-06,562.5
5,9,1,1.975200108179956e-06,625.0
5,9,2,1.984159318385359e-06,625.0
5,9,3,1.0013507280579422e-06,625.0
5,9,4,1.123533000799606e-06,625.0
5,9,1,1.902869107114478e-06,687.5
5,9,2,1.9151122458980543e-06,687.5
5,9,3,1.1219365759095912e-06,687.5
5,9,4,1.1537490801697929e-06,687.5
5,9,1,1.9745635810644254e-06,750.0
5,9,2,1.9823563550435e-06,750.0
5,9,3,1.0390479261146234e-06,750.0
5,9,4,1.1330080650940634e-06,750.0
5,9,1,1.954534966325095e-06,812.5
5,9,2,1.9612168467521626e-06,812.5
5,9,3,1.0982451500231435e-06,812.5
5,9,4,1.1402199174395583e-06,812.5
5,9,1,1.9793788466279883e-06,875.0
5,9,2,1.9844197828095564e-06,875.0
5,9,3,1.0915702177763107e-06,875.0
5,9,4,1.1460054208545077e-06,875.0
5,9,1,1.9424178539779907e-06,937.5
5,9,2,1.953222884200478e-06,937.5
5,9,3,1.0961402121396469e-06,937.5
5,9,4,1.142810331309333e-06,937.5
5,9,1,1.9794979628295526e-06,1000.0
5,9,2,1.9896971690870805e-06,1000.0
5,9,3,1.1137465224173264e-06,1000.0
5,9,4,1.1486685870470777e-06,1000.0
5,9,1,1.9984964385289145e-06,1062.5
5,9,2,2.002676369851481e-06,1062.5
5,9,3,1.1010100338325603e-06,1062.5
5,9,4,1.144870927232552e-06,1062.5
5,9,1,2.0033836277791362e-06,1125.0
5,9,2,2.007002518501115e-06,1125.0
5,9,3,1.1254250162466068e-06,1125.0
5,9,4,1.1478415701061896e-06,1125.0
5,9,1,2.004315607349359e-06,1187.5
5,9,2,2.0133663468451912e-06,1187.5
5,9,3,1.1375281608052139e-06,1187.5
5,9,4,1.1570934372296668e-06,1187.5
5,9,1,2.032802805430445e-06,1250.0
5,9,2,2.043068222506593e-06,1250.0
5,9,3,1.1562614846596594e-06,1250.0
5,9,4,1.150367540951251e-06,1250.0
