InnerIters,OuterIters,PicardIters,ResidualReductions,SimTime
5,1,1,5.870008458643116e-10,28.125
5,1,2,2.171970435932907e-08,28.125
5,1,3,5.81586406689687e-10,28.125
5,1,4,5.402248890447646e-09,28.125
5,1,1,5.821223941525469e-10,56.25
5,1,2,5.822211020732865e-10,56.25
5,1,3,1.959166403886046e-09,56.25
5,1,4,6.672696666898565e-09,56.25
5,1,1,5.880495343287566e-10,84.375
5,1,2,5.882176359496986e-10,84.375
5,1,3,1.9299855569419083e-09,84.375
5,1,4,1.0081552100456605e-08,84.375
5,1,1,5.927203482820168e-10,112.5
5,1,2,5.929173632463308e-10,112.5
5,1,3,2.2350057332637585e-09,112.5
5,1,4,9.13882070965446e-09,112.5
5,1,1,5.902053929263755e-10,140.625
5,1,2,5.903335973183844e-10,140.625
5,1,3,2.6215758617859083e-09,140.625
5,1,4,9.950314753673352e-09,140.625
5,1,1,5.855671429746272e-10,168.75
5,1,2,5.856462634373435e-10,168.75
5,1,3,2.2675502085561252e-09,168.75
5,1,4,9.463517538381693e-09,168.75
5,1,1,5.833794385633265e-10,196.875
5,1,2,5.834751246219596e-10,196.875
5,1,3,2.1522210327905303e-09,196.875
5,1,4,9.787806496292018e-09,196.875
5,1,1,5.826653158037909e-10,225.0
5,1,2,5.827229833801563e-10,225.0
5,1,3,2.4538093990878233e-09,225.0
5,1,4,1.1443666574001777e-08,225.0
5,1,1,5.842101121665344e-10,253.125
5,1,2,5.84247201943283e-10,253.125
5,1,3,2.6049185007381545e-09,253.125
5,1,4,1.046052638242001e-08,253.125
5,1,1,5.864842567547814e-10,281.25
5,1,2,5.8657001788637e-10,281.25
5,1,3,2.3106956819023765e-09,281.25
5,1,4,1.1697163970840058e-08,281.25
5,1,1,5.868162042976777e-10,309.375
5,1,2,5.869684079643193e-10,309.375
5,1,3,2.2089499395386057e-09,309.375
5,1,4,1.0645959084791012e-08,309.375
5,1,1,5.864606395015104e-10,337.5
5,1,2,5.86624834384044e-10,337.5
5,1,3,2.346997955684111e-09,337.5
5,1,4,1.1189215362908824e-08,337.5
5,1,1,5.86031492290306e-10,365.625
5,1,2,5.861287914734212e-10,365.625
5,1,3,2.437997985645841e-09,365.625
5,1,4,1.303219986366154e-08,365.625
5,1,1,5.857798696194719e-10,393.75
5,1,2,5.857945574991452e-10,393.75
5,1,3,2.2902613485154957e-09,393.75
5,1,4,1.1174870530750352e-08,393.75
5,1,1,5.866627508153965e-10,421.875
5,1,2,5.867113038049694e-10,421.875
5,1,3,2.26315604681488e-09,421.875
5,1,4,1.1721518402859318e-08,421.875
5,1,1,5.874167283543227e-10,450.0
5,1,2,5.875218468537312e-10,450.0
5,1,3,2.4345766015149145e-09,450.0
5,1,4,1.3737146653901408e-08,450.0
5,1,1,5.883761117006029e-10,478.125
5,1,2,5.885078340277369e-10,478.125
5,1,3,2.4658120217805217e-09,478.125
5,1,4,1.2225967263860778e-08,478.125
5,1,1,5.903099681566249e-10,506.25
5,1,2,5.904410619142314e-10,506.25
5,1,3,2.4325743821911697e-09,506.25
5,1,4,1.309574636605469e-08,506.25
5,1,1,5.914723464899968e-10,534.375
5,1,2,5.915760553381056e-10,534.375
5,1,3,2.3805798591884575e-09,534.375
5,1,4,1.3379692578478973e-08,534.375
5,1,1,5.912152442907887e-10,562.5
5,1,2,5.912919940883611e-10,562.5
5,1,3,2.42800588575059e-09,562.5
5,1,4,1.3652049576799375e-08,562.5
5,1,1,5.899266579088042e-10,590.625
5,1,2,5.900157112190533e-10,590.625
5,1,3,2.513946768868042e-09,590.625
5,1,4,1.45256910912835e-08,590.625
5,1,1,5.887358509427643e-10,618.75
5,1,2,5.888351134563449e-10,618.75
5,1,3,2.447582654490974e-09,618.75
5,1,4,1.3961058329102934e-08,618.75
5,1,1,5.888327509193192e-10,646.875
5,1,2,5.88950551831358e-10,646.875
5,1,3,2.447442142280749e-09,646.875
5,1,4,1.4590244882898453e-08,646.875
5,1,1,5.901600947967283e-10,675.0
5,1,2,5.903246587111937e-10,675.0
5,1,3,2.491494756204229e-09,675.0
5,1,4,1.494525747488721e-08,675.0
5,1,1,5.918059105650656e-10,703.125
5,1,2,5.919675878199127e-10,703.125
5,1,3,2.4348652543756523e-09,703.125
5,1,4,1.4881097401693866e-08,703.125
5,1,1,5.926443650272623e-10,731.25
5,1,2,5.927878283109208e-10,731.25
5,1,3,2.46563324830983e-09,731.25
5,1,4,1.546893392084563e-08,731.25
5,1,1,5.927337889560071e-10,759.375
5,1,2,5.928237060066174e-10,759.375
5,1,3,2.4880363219481255e-09,759.375
5,1,4,1.571484906766299e-08,759.375
5,1,1,5.925944681473214e-10,787.5
5,1,2,5.92664970568558e-10,787.5
5,1,3,2.472799742274608e-09,787.5
5,1,4,1.5896976577561137e-08,787.5
5,1,1,5.927283062849603e-10,815.625
5,1,2,5.928124128970004e-10,815.625
5,1,3,2.535375191476752e-09,815.625
5,1,4,1.6486964710117247e-08,815.625
5,1,1,5.932521356688181e-10,843.75
5,1,2,5.933709782977838e-10,843.75
5,1,3,2.5357242802651627e-09,843.75
5,1,4,1.6178560123861615e-08,843.75
5,1,1,5.936479199523591e-10,871.875
5,1,2,5.937799829456269e-10,871.875
5,1,3,2.5192937402393774e-09,871.875
5,1,4,1.692318108645421e-08,871.875
5,1,1,5.940777270560745e-10,900.0
5,1,2,5.941956400383973e-10,900.0
5,1,3,2.533219289043371e-09,900.0
5,1,4,1.709259940784203e-08,900.0
5,1,1,5.953500617265447e-10,928.125
5,1,2,5.954344364182328e-10,928.125
5,1,3,2.5223871991858884e-09,928.125
5,1,4,1.7545970784698735e-08,928.125
5,1,1,5.970524025959383e-10,956.25
5,1,2,5.971187524817428e-10,956.25
5,1,3,2.5419128510397078e-09,956.25
5,1,4,1.8101747934685774e-08,956.25
5,1,1,5.984223940650401e-10,984.375
5,1,2,5.984914796553684e-10,984.375
5,1,3,2.5619353060363543e-09,984.375
5,1,4,1.8197378552440145e-08,984.375
5,1,1,5.984826520984675e-10,1012.5
5,1,2,5.985476111842476e-10,1012.5
5,1,3,2.565013903452231e-09,1012.5
5,1,4,1.878948421498831e-08,1012.5
5,1,1,5.976000430754685e-10,1040.625
5,1,2,5.97666432556189e-10,1040.625
5,1,3,2.597104182351041e-09,1040.625
5,1,4,1.8578029186392146e-08,1040.625
5,1,1,5.974134637327216e-10,1068.75
5,1,2,5.975052107369933e-10,1068.75
5,1,3,2.6312759496768114e-09,1068.75
5,1,4,1.9183508911239e-08,1068.75
5,1,1,5.984059223864074e-10,1096.875
5,1,2,5.985277075268158e-10,1096.875
5,1,3,2.6449499910045135e-09,1096.875
5,1,4,1.9543388477250397e-08,1096.875
5,1,1,6.005083254879317e-10,1125.0
5,1,2,6.006349125365004e-10,1125.0
5,1,3,2.6225640222276448e-09,1125.0
5,1,4,1.959295564810579e-08,1125.0
5,1,1,6.029514867469329e-10,1153.125
5,1,2,6.0303920643036e-10,1153.125
5,1,3,2.576099274706629e-09,1153.125
5,1,4,2.0124081735038517e-08,1153.125
5,1,1,6.039481867644603e-10,1181.25
5,1,2,6.039957670398816e-10,1181.25
5,1,3,2.5757505827317747e-09,1181.25
5,1,4,2.069840494282207e-08,1181.25
5,1,1,6.031848708068231e-10,1209.375
5,1,2,6.032124824840607e-10,1209.375
5,1,3,2.6034312975046823e-09,1209.375
5,1,4,2.0886926846276315e-08,1209.375
5,1,1,6.022679457206377e-10,1237.5
5,1,2,6.02313204350097e-10,1237.5
5,1,3,2.6363246305143446e-09,1237.5
5,1,4,2.0743046550681547e-08,1237.5
5,1,1,6.028647417982025e-10,1265.625
5,1,2,6.029740903554168e-10,1265.625
5,1,3,2.665858235151985e-09,1265.625
5,1,4,2.1003322969366157e-08,1265.625
5,1,1,6.048756122426272e-10,1293.75
5,1,2,6.050196285938e-10,1293.75
5,1,3,2.6663389471515103e-09,1293.75
5,1,4,2.1586109022725756e-08,1293.75
5,1,1,6.07062363409231e-10,1321.875
5,1,2,6.071964119558289e-10,1321.875
5,1,3,2.643408034105839e-09,1321.875
5,1,4,2.1953739510540445e-08,1321.875
5,1,1,6.085702878825812e-10,1350.0
5,1,2,6.086579518293693e-10,1350.0
5,1,3,2.606674095639965e-09,1350.0
5,1,4,2.2529313666890946e-08,1350.0
5,1,1,6.091983291384367e-10,1378.125
5,1,2,6.092582744714443e-10,1378.125
5,1,3,2.607762782005061e-09,1378.125
5,1,4,2.2661319317406727e-08,1378.125
5,1,1,6.093216538123495e-10,1406.25
5,1,2,6.09388816035685e-10,1406.25
5,1,3,2.6518274092184117e-09,1406.25
5,1,4,2.3052572197098704e-08,1406.25
5,1,1,6.091716337501617e-10,1434.375
5,1,2,6.092539780719313e-10,1434.375
5,1,3,2.6485054446456415e-09,1434.375
5,1,4,2.3345712069251564e-08,1434.375
5,1,1,6.085074522096507e-10,1462.5
5,1,2,6.086028321112321e-10,1462.5
5,1,3,2.6508999555761126e-09,1462.5
5,1,4,2.3256176411398804e-08,1462.5
5,1,1,6.075017945279136e-10,1490.625
5,1,2,6.075936053303481e-10,1490.625
5,1,3,2.6495726046386514e-09,1490.625
