InnerIters,OuterIters,PicardIters,ResidualReductions,SimTime
2,1,1,2.0818302849586715e-09,100.0
2,1,2,2.016170422936032e-09,100.0
3,1,3,2.0872098813562196e-11,100.0
3,1,4,1.489813376360173e-10,100.0
2,1,1,1.8382016878120022e-09,200.0
2,1,2,1.8519315921864676e-09,200.0
3,1,3,3.437925700849681e-11,200.0
3,1,4,1.5297239393525866e-10,200.0
2,1,1,2.0555495758945175e-09,300.0
2,1,2,2.0876523294695416e-09,300.0
3,1,3,1.9444930700011056e-11,300.0
3,1,4,1.3275695949274105e-10,300.0
2,1,1,2.331296308476464e-09,400.0
2,1,2,2.245152366545756e-09,400.0
3,1,3,6.201368537472819e-11,400.0
3,1,4,2.476911573270947e-10,400.0
2,1,1,1.1998553209623761e-09,500.0
2,1,2,1.2404723349409845e-09,500.0
3,1,3,2.2778367323082012e-11,500.0
3,1,4,1.4260780869236378e-10,500.0
2,1,1,2.162909822583932e-09,600.0
2,1,2,2.1262531044192186e-09,600.0
3,1,3,5.355401521663344e-11,600.0
3,1,4,3.5647144795244106e-10,600.0
2,1,1,1.3986058837473913e-09,700.0
2,1,2,1.3445832696957806e-09,700.0
3,1,3,2.937426990070618e-11,700.0
3,1,4,1.662368115599945e-10,700.0
2,1,1,1.2562695863012905e-09,800.0
2,1,2,1.2480306700857794e-09,800.0
3,1,3,4.559490882790044e-11,800.0
3,1,4,3.863966505750511e-10,800.0
2,1,1,1.745877505978759e-09,900.0
2,1,2,1.7471677741589302e-09,900.0
3,1,3,3.6809651415926864e-11,900.0
3,1,4,1.9483757010226455e-10,900.0
2,1,1,1.3947589154532384e-09,1000.0
2,1,2,1.389174661796246e-09,1000.0
3,1,3,4.3628621546670065e-11,1000.0
3,1,4,3.6015670947631454e-10,1000.0
2,1,1,2.0502296277329325e-09,1100.0
2,1,2,2.0468191712273317e-09,1100.0
3,1,3,4.3971008335312613e-11,1100.0
3,1,4,2.3099929041893898e-10,1100.0
2,1,1,1.855702061879237e-09,1200.0
2,1,2,1.8614358632777403e-09,1200.0
3,1,3,4.6660936675978596e-11,1200.0
3,1,4,3.5357619891184226e-10,1200.0
2,1,1,2.2104276628318517e-09,1300.0
2,1,2,2.1961219404437713e-09,1300.0
3,1,3,5.064149669642968e-11,1300.0
3,1,4,2.7888416836398496e-10,1300.0
2,1,1,1.8545010204139768e-09,1400.0
2,1,2,1.8464479312528803e-09,1400.0
3,1,3,5.2228433144377096e-11,1400.0
3,1,4,3.648378050173527e-10,1400.0
2,1,1,1.8396797715132291e-09,1500.0
2,1,2,1.8365638562728848e-09,1500.0
3,1,3,5.725313777525772e-11,1500.0
3,1,4,3.299445859242415e-10,1500.0
2,1,1,2.0279558980488795e-09,1600.0
2,1,2,2.050427923931378e-09,1600.0
3,1,3,5.641161036105955e-11,1600.0
3,1,4,3.759064060162309e-10,1600.0
2,1,1,2.345162311012335e-09,1700.0
2,1,2,2.3712718270495145e-09,1700.0
3,1,3,6.175377608766564e-11,1700.0
3,1,4,3.7886276071012273e-10,1700.0
2,1,1,2.7892181592078344e-09,1800.0
2,1,2,2.8141727829986116e-09,1800.0
3,1,3,6.185312026849228e-11,1800.0
3,1,4,3.967740207480603e-10,1800.0
2,1,1,3.1496014860348644e-09,1900.0
2,1,2,3.1733954030420378e-09,1900.0
3,1,3,6.962764095316869e-11,1900.0
3,1,4,4.386530225278464e-10,1900.0
2,1,1,3.2519503087054264e-09,2000.0
2,1,2,3.2588853260674653e-09,2000.0
3,1,3,6.85924405004572e-11,2000.0
3,1,4,4.400660803201534e-10,2000.0
2,1,1,3.206278854206918e-09,2100.0
2,1,2,3.2049554511347854e-09,2100.0
3,1,3,7.541819832313842e-11,2100.0
3,1,4,4.919000351834342e-10,2100.0
2,1,1,2.9041582786436755e-09,2200.0
2,1,2,2.8946573065488927e-09,2200.0
3,1,3,7.70942960268989e-11,2200.0
3,1,4,4.878372536776591e-10,2200.0
2,1,1,2.767014131728894e-09,2300.0
2,1,2,2.769538983771259e-09,2300.0
3,1,3,8.183888262197312e-11,2300.0
3,1,4,5.484282554274076e-10,2300.0
2,1,1,2.832932710662014e-09,2400.0
2,1,2,2.855531970928429e-09,2400.0
3,1,3,8.275350551792114e-11,2400.0
3,1,4,5.365719678268396e-10,2400.0
2,1,1,3.124810997266e-09,2500.0
2,1,2,3.134584856096502e-09,2500.0
3,1,3,9.019632149910736e-11,2500.0
3,1,4,6.022898831714204e-10,2500.0
