InnerIters,OuterIters,PicardIters,ResidualReductions,SimTime
5,18,1,2.5644972343482295e-10,28.125
5,18,2,2.1805591079214775e-08,28.125
5,18,3,1.7182223817331982e-10,28.125
6,18,4,5.381156380335542e-09,28.125
5,17,1,1.1282911586875942e-09,56.25
5,17,2,1.1325781080546589e-09,56.25
5,17,3,1.991103292718573e-09,56.25
6,17,4,6.690638365937276e-09,56.25
5,18,1,3.619768571888213e-10,84.375
5,18,2,3.628547873656569e-10,84.375
6,18,3,1.8845926403692697e-09,84.375
5,17,4,1.0123374686883972e-08,84.375
5,18,1,3.544111754127814e-10,112.5
5,18,2,3.5070969778282967e-10,112.5
5,17,3,2.2739361529341715e-09,112.5
6,17,4,9.16972287608952e-09,112.5
5,17,1,9.471227237725723e-10,140.625
5,17,2,9.604937985795607e-10,140.625
5,17,3,2.644202162148015e-09,140.625
6,17,4,9.96656085446505e-09,140.625
5,17,1,1.2395818287810816e-09,168.75
5,17,2,1.2284448612487814e-09,168.75
6,18,3,2.202054536110549e-09,168.75
6,17,4,9.522900255168243e-09,168.75
5,17,1,1.2324361605039761e-09,196.875
5,17,2,1.232249947901933e-09,196.875
6,17,3,2.3215315472207575e-09,196.875
6,17,4,9.819373112160639e-09,196.875
5,17,1,1.3718888535723908e-09,225.0
5,17,2,1.3727925362810246e-09,225.0
6,17,3,2.552727868968205e-09,225.0
6,17,4,1.1480935108892069e-08,225.0
5,17,1,1.0571929610360473e-09,253.125
5,17,2,1.0466703339694752e-09,253.125
6,18,3,2.512517541498594e-09,253.125
6,17,4,1.0535395511731482e-08,253.125
5,17,1,1.326878498974771e-09,281.25
5,17,2,1.3264724931159288e-09,281.25
6,18,3,2.2213110434665966e-09,281.25
6,17,4,1.1739397868309149e-08,281.25
5,17,1,1.2606930807123886e-09,309.375
5,17,2,1.2569280619732772e-09,309.375
6,17,3,2.3926679457177376e-09,309.375
6,17,4,1.0710432283598445e-08,309.375
5,17,1,1.3731666074095715e-09,337.5
5,17,2,1.3305835598858333e-09,337.5
6,18,3,2.27296642890791e-09,337.5
6,17,4,1.122676438799192e-08,337.5
5,17,1,1.238920416766012e-09,365.625
5,17,2,1.216875513901542e-09,365.625
6,18,3,2.373325394280042e-09,365.625
6,17,4,1.3095540328574879e-08,365.625
5,17,1,7.839100555582905e-10,393.75
5,17,2,7.760100911672873e-10,393.75
6,17,3,2.497332187288265e-09,393.75
6,17,4,1.1229025909939115e-08,393.75
5,17,1,9.108470422383441e-10,421.875
5,17,2,9.312227053391034e-10,421.875
6,18,3,2.1985602308995878e-09,421.875
6,17,4,1.17417255814101e-08,421.875
5,17,1,1.3348460749558647e-09,450.0
5,17,2,1.3270289611744586e-09,450.0
6,18,3,2.3606986159199957e-09,450.0
6,17,4,1.3787079022004265e-08,450.0
5,17,1,1.07282366771627e-09,478.125
5,17,2,9.796206602226969e-10,478.125
6,17,3,2.5624325260701622e-09,478.125
6,17,4,1.2298211469046757e-08,478.125
5,17,1,1.1354473773295756e-09,506.25
5,17,2,1.1321228915357124e-09,506.25
6,18,3,2.3610459435281465e-09,506.25
6,17,4,1.3174534045659166e-08,506.25
5,17,1,1.3292798290394934e-09,534.375
5,17,2,1.3143094933790382e-09,534.375
6,17,3,2.579040098608424e-09,534.375
6,18,4,1.3339703118234555e-08,534.375
5,17,1,1.0188762781651739e-09,562.5
5,17,2,9.297290520446815e-10,562.5
6,17,3,2.5242795876898855e-09,562.5
6,17,4,1.3684025946182463e-08,562.5
5,17,1,1.2974698761545403e-09,590.625
5,17,2,1.2957472812007673e-09,590.625
6,17,3,2.693238234178011e-09,590.625
6,17,4,1.4598728873821875e-08,590.625
5,17,1,1.2871510194572196e-09,618.75
5,17,2,1.275532086877199e-09,618.75
6,18,3,2.3872431117459348e-09,618.75
6,18,4,1.3939307821377583e-08,618.75
5,17,1,8.94314854837536e-10,646.875
5,17,2,9.847141851271328e-10,646.875
6,17,3,2.6383876984514618e-09,646.875
6,17,4,1.4611972907742219e-08,646.875
5,17,1,1.335836500935916e-09,675.0
5,17,2,1.337017937916528e-09,675.0
6,18,3,2.4346172361482113e-09,675.0
6,17,4,1.5002452437570404e-08,675.0
5,17,1,1.233741296008765e-09,703.125
5,17,2,1.2241631656964925e-09,703.125
6,17,3,2.551424069387399e-09,703.125
6,17,4,1.491491644548171e-08,703.125
5,17,1,1.1666291798955937e-09,731.25
5,17,2,1.1679888217207149e-09,731.25
6,17,3,2.6074990003966013e-09,731.25
6,17,4,1.5498486570107814e-08,731.25
5,17,1,1.3229378500301122e-09,759.375
5,17,2,1.320512541826307e-09,759.375
6,18,3,2.449792126415934e-09,759.375
6,17,4,1.5747958512659303e-08,759.375
5,17,1,1.2864315521377854e-09,787.5
5,17,2,1.2742433106840943e-09,787.5
6,17,3,2.6417245284475296e-09,787.5
6,17,4,1.5936995313722323e-08,787.5
5,17,1,1.344007891585731e-09,815.625
5,17,2,1.3450709828415168e-09,815.625
6,18,3,2.494746788929731e-09,815.625
6,17,4,1.650956118165684e-08,815.625
