InnerIters,OuterIters,PicardIters,ResidualReductions,SimTime
6,12,1,1.3767106402680796e-09,28.125
6,12,2,1.955811688076e-08,28.125
6,12,3,1.3686836755347049e-09,28.125
6,12,4,5.6490144338413935e-09,28.125
5,12,1,2.176646796782003e-11,56.25
5,12,2,2.2225358574748625e-11,56.25
6,12,3,2.0226340773339026e-09,56.25
6,12,4,7.52894492221493e-09,56.25
5,12,1,2.5942570211270157e-10,84.375
5,12,2,2.689446622033691e-10,84.375
6,12,3,1.852867504006661e-09,84.375
6,12,4,9.95087705066279e-09,84.375
5,12,1,5.079180302460065e-10,112.5
5,12,2,5.060308814072582e-10,112.5
6,12,3,1.898991262261062e-09,112.5
6,12,4,1.2129937687657405e-08,112.5
6,12,1,4.6015153779150706e-10,140.625
6,12,2,4.5765112231091504e-10,140.625
6,12,3,2.2118150654731715e-09,140.625
6,12,4,1.0487770194085932e-08,140.625
6,12,1,3.6951162436404716e-10,168.75
6,12,2,3.7057517456003193e-10,168.75
6,12,3,2.5505447458037984e-09,168.75
6,12,4,1.1065759119889729e-08,168.75
6,12,1,3.526701153322272e-10,196.875
6,12,2,3.5493104823260264e-10,196.875
6,12,3,2.2956643568494815e-09,196.875
6,12,4,1.1653013959504924e-08,196.875
6,12,1,4.4582733364797083e-10,225.0
6,12,2,4.4303924802622853e-10,225.0
6,12,3,1.970093890710876e-09,225.0
5,12,4,1.272683947586205e-08,225.0
6,12,1,4.629721733362185e-10,253.125
6,12,2,4.554649559365768e-10,253.125
6,12,3,2.0614475509647116e-09,253.125
6,12,4,1.266932721510008e-08,253.125
6,12,1,3.66262179076416e-10,281.25
6,12,2,3.6223034049525305e-10,281.25
6,12,3,2.4938100607391036e-09,281.25
6,12,4,1.3851036890131601e-08,281.25
6,12,1,3.742386585759811e-10,309.375
6,12,2,3.7430036242283387e-10,309.375
6,12,3,2.5348595986253966e-09,309.375
6,12,4,1.469753539067388e-08,309.375
6,12,1,5.197003878453548e-10,337.5
6,12,2,5.167965909325261e-10,337.5
6,12,3,2.24434162200934e-09,337.5
6,12,4,1.3473367395436458e-08,337.5
6,12,1,5.361117979684823e-10,365.625
6,12,2,5.325442836483027e-10,365.625
6,12,3,2.063425440980509e-09,365.625
