InnerIters,OuterIters,PicardIters,ResidualReductions,SimTime
5,10,1,3.8727948980324155e-11,28.125
5,10,2,9.390575229869144e-09,28.125
5,10,3,3.931811016634529e-11,28.125
5,10,4,9.221202976716086e-09,28.125
5,9,1,1.3546791094589227e-10,56.25
5,9,2,1.3934588090361134e-10,56.25
5,8,3,3.5411628414846515e-09,56.25
5,9,4,1.0891131822525957e-08,56.25
5,8,1,1.4732277887270202e-10,84.375
5,8,2,1.3487479585050623e-10,84.375
5,9,3,3.787586323171187e-09,84.375
5,9,4,2.326406770649594e-08,84.375
5,8,1,2.779473209314967e-10,112.5
5,8,2,2.5907197405920734e-10,112.5
5,8,3,3.7047580794653225e-09,112.5
5,9,4,1.3982064519077782e-08,112.5
5,8,1,2.312065615746807e-10,140.625
5,8,2,2.236030310564541e-10,140.625
5,8,3,3.5675874646219245e-09,140.625
5,9,4,1.396449888583216e-08,140.625
5,8,1,2.674074293797955e-10,168.75
5,8,2,2.604470505686103e-10,168.75
5,8,3,4.174471027984089e-09,168.75
5,9,4,1.905025085869404e-08,168.75
5,8,1,1.901874536674947e-10,196.875
5,8,2,1.8609862887438922e-10,196.875
5,9,3,3.799508942617575e-09,196.875
5,9,4,1.4651574127044967e-08,196.875
5,8,1,3.4101571166258385e-11,225.0
5,8,2,3.132727550507298e-11,225.0
5,8,3,3.4362198265258503e-09,225.0
5,9,4,1.7071486538990044e-08,225.0
5,8,1,1.0846700385775814e-10,253.125
5,8,2,1.0689028445103653e-10,253.125
5,8,3,3.522508583868076e-09,253.125
5,9,4,1.7535246934818112e-08,253.125
5,8,1,9.836682789799795e-11,281.25
5,8,2,9.71389725720847e-11,281.25
5,9,3,3.480429022155028e-09,281.25
5,9,4,1.703459752973555e-08,281.25
5,8,1,9.555175288830225e-11,309.375
5,8,2,9.683465558747257e-11,309.375
5,9,3,3.559717808692588e-09,309.375
5,9,4,1.8438856377720404e-08,309.375
5,8,1,8.631741885511008e-11,337.5
5,8,2,8.22730332650404e-11,337.5
5,9,3,3.835427633656308e-09,337.5
5,9,4,1.8083312046677617e-08,337.5
5,8,1,2.5592581185248687e-11,365.625
5,8,2,2.7620402977253936e-11,365.625
5,9,3,3.5146188320745623e-09,365.625
5,9,4,1.817569427587113e-08,365.625
5,8,1,1.4036224971946662e-11,393.75
5,8,2,1.381058406821227e-11,393.75
5,9,3,3.3719131073858055e-09,393.75
5,9,4,1.9396304634550456e-08,393.75
5,8,1,8.250280817523161e-11,421.875
5,8,2,8.282203512795405e-11,421.875
5,9,3,3.51569744048418e-09,421.875
5,9,4,2.0663896563577132e-08,421.875
5,8,1,3.242523868251953e-11,450.0
5,8,2,3.1441744511919394e-11,450.0
5,9,3,3.4866861014045044e-09,450.0
5,9,4,2.0220221309256036e-08,450.0
