InnerIters,OuterIters,PicardIters,ResidualReductions,SimTime
5,1,1,5.87000255532013e-10,28.125
5,1,2,2.1719756169334628e-08,28.125
5,1,3,5.815804782718058e-10,28.125
5,1,4,5.397537500055373e-09,28.125
5,1,1,5.821211555156391e-10,56.25
5,1,2,5.822143228161777e-10,56.25
5,1,3,1.9613615030359687e-09,56.25
5,1,4,6.663095717998481e-09,56.25
5,1,1,5.880434561334889e-10,84.375
5,1,2,5.882120543869406e-10,84.375
5,1,3,1.9271918986541623e-09,84.375
5,1,4,1.0089769662310441e-08,84.375
5,1,1,5.927203349660574e-10,112.5
5,1,2,5.929122132273595e-10,112.5
5,1,3,2.2310561346763985e-09,112.5
5,1,4,9.138053597972082e-09,112.5
5,1,1,5.902032937185148e-10,140.625
5,1,2,5.90334170891017e-10,140.625
5,1,3,2.623611285660768e-09,140.625
5,1,4,9.958989482007899e-09,140.625
5,1,1,5.855743471769044e-10,168.75
5,1,2,5.856503777268848e-10,168.75
5,1,3,2.264760710602084e-09,168.75
5,1,4,9.46925733520967e-09,168.75
5,1,1,5.833727438129022e-10,196.875
5,1,2,5.834666447209644e-10,196.875
5,1,3,2.1539127120517176e-09,196.875
5,1,4,9.784332173490216e-09,196.875
5,1,1,5.826590067435452e-10,225.0
5,1,2,5.827186288449947e-10,225.0
5,1,3,2.451119883445607e-09,225.0
5,1,4,1.1451186644361312e-08,225.0
5,1,1,5.84207664310397e-10,253.125
5,1,2,5.842480046897975e-10,253.125
5,1,3,2.6090353627064547e-09,253.125
5,1,4,1.0469902253022869e-08,253.125
5,1,1,5.864792090999152e-10,281.25
5,1,2,5.865794322838795e-10,281.25
5,1,3,2.3104229810531515e-09,281.25
5,1,4,1.1719573823415882e-08,281.25
5,1,1,5.868182534523329e-10,309.375
5,1,2,5.869689250300386e-10,309.375
5,1,3,2.211354202818658e-09,309.375
5,1,4,1.0649863053251369e-08,309.375
5,1,1,5.864581313679426e-10,337.5
5,1,2,5.866231079951766e-10,337.5
