InnerIters,OuterIters,PicardIters,ResidualReductions,SimTime
5,1,1,6.387883388887315e-10,28.125
5,1,2,1.3367308451051358e-08,28.125
5,1,3,6.858247301717369e-10,28.125
5,1,4,1.3626938287379743e-09,28.125
5,1,1,6.592594557881681e-10,56.25
5,1,2,6.619930632673437e-10,56.25
5,1,3,6.103082767392249e-10,56.25
5,1,4,1.1296630796335752e-09,56.25
5,1,1,7.363576321391313e-10,84.375
5,1,2,7.399197961089491e-10,84.375
5,1,3,6.372706976287473e-10,84.375
5,1,4,1.3348408456367728e-09,84.375
5,1,1,7.084471861004439e-10,112.5
5,1,2,7.076138246025546e-10,112.5
5,1,3,7.039146304777623e-10,112.5
5,1,4,5.015087978610149e-09,112.5
5,1,1,6.610361806717838e-10,140.625
5,1,2,6.610644905622411e-10,140.625
5,1,3,9.132378436008954e-10,140.625
5,1,4,1.7060935447055012e-09,140.625
5,1,1,6.779638421182176e-10,168.75
5,1,2,6.811301039414304e-10,168.75
5,1,3,6.331893329014526e-10,168.75
5,1,4,1.2942936343185982e-09,168.75
5,1,1,7.094317317751915e-10,196.875
5,1,2,7.112842222621127e-10,196.875
5,1,3,6.483560100202592e-10,196.875
5,1,4,1.9216686247289098e-09,196.875
5,1,1,6.902135920925722e-10,225.0
5,1,2,6.901123587304085e-10,225.0
5,1,3,7.273530654281574e-10,225.0
5,1,4,2.8142668327561035e-09,225.0
5,1,1,6.861316849462849e-10,253.125
5,1,2,6.873993645166768e-10,253.125
5,1,3,9.766907204272991e-10,253.125
5,1,4,1.6629672519370352e-09,253.125
5,1,1,7.042831803161344e-10,281.25
5,1,2,7.065645572526707e-10,281.25
5,1,3,6.876128809987315e-10,281.25
5,1,4,1.6794697023135411e-09,281.25
5,1,1,6.953601458611089e-10,309.375
5,1,2,6.959806385977631e-10,309.375
5,1,3,6.586436841139157e-10,309.375
5,1,4,2.5116852814949e-09,309.375
5,1,1,6.811896133947906e-10,337.5
5,1,2,6.816965640790276e-10,337.5
5,1,3,7.442033115309453e-10,337.5
5,1,4,2.227076984721702e-09,337.5
5,1,1,6.951289674239293e-10,365.625
5,1,2,6.969581757351392e-10,365.625
5,1,3,9.309341503496793e-10,365.625
5,1,4,1.886224186730603e-09,365.625
5,1,1,7.119927471076336e-10,393.75
5,1,2,7.137641941411253e-10,393.75
5,1,3,7.482632626183013e-10,393.75
5,1,4,2.288586058768074e-09,393.75
5,1,1,7.079903479377245e-10,421.875
5,1,2,7.084015853445534e-10,421.875
5,1,3,7.003004024182787e-10,421.875
5,1,4,2.6158819268102406e-09,421.875
5,1,1,7.041040773894239e-10,450.0
5,1,2,7.044595322421463e-10,450.0
5,1,3,7.874599246849812e-10,450.0
5,1,4,2.2174384320031775e-09,450.0
5,1,1,7.074150040539356e-10,478.125
5,1,2,7.084182249702921e-10,478.125
5,1,3,9.042464183349148e-10,478.125
5,1,4,2.3453154030983122e-09,478.125
5,1,1,7.046295078864232e-10,506.25
5,1,2,7.054467615913127e-10,506.25
5,1,3,8.095997207296672e-10,506.25
5,1,4,2.869758445236274e-09,506.25
5,1,1,6.989965956186529e-10,534.375
5,1,2,6.995126078733726e-10,534.375
5,1,3,7.689556402696557e-10,534.375
5,1,4,2.651846502784904e-09,534.375
5,1,1,6.985951925306916e-10,562.5
5,1,2,6.992607221290781e-10,562.5
5,1,3,8.298823496109747e-10,562.5
5,1,4,2.5090392604476787e-09,562.5
5,1,1,6.989474592694473e-10,590.625
5,1,2,6.998497043578689e-10,590.625
5,1,3,8.913364159014751e-10,590.625
5,1,4,2.943346841433413e-09,590.625
5,1,1,6.992914076359017e-10,618.75
5,1,2,7.003053392835147e-10,618.75
5,1,3,8.786952142448759e-10,618.75
5,1,4,3.16685673420011e-09,618.75
5,1,1,7.041766590512275e-10,646.875
5,1,2,7.052278127053413e-10,646.875
5,1,3,8.682786175908017e-10,646.875
5,1,4,2.8678568265653693e-09,646.875
5,1,1,7.082255621870116e-10,675.0
5,1,2,7.089551671308173e-10,675.0
5,1,3,8.787008240579856e-10,675.0
5,1,4,3.0091303669964407e-09,675.0
5,1,1,7.060664055966917e-10,703.125
5,1,2,7.064298549745716e-10,703.125
5,1,3,9.10678815122566e-10,703.125
5,1,4,3.4573350229296484e-09,703.125
5,1,1,7.047016899363034e-10,731.25
5,1,2,7.051945025256956e-10,731.25
5,1,3,9.497486443107272e-10,731.25
5,1,4,3.3849605184500907e-09,731.25
5,1,1,7.077581707026847e-10,759.375
5,1,2,7.08496305395595e-10,759.375
5,1,3,9.691602161838977e-10,759.375
5,1,4,3.306398184544111e-09,759.375
5,1,1,7.083498868144383e-10,787.5
5,1,2,7.088845315041633e-10,787.5
5,1,3,9.389045107227858e-10,787.5
5,1,4,3.6497433608888837e-09,787.5
5,1,1,7.049738400078114e-10,815.625
5,1,2,7.053012439792483e-10,815.625
5,1,3,9.563049170863592e-10,815.625
5,1,4,3.842154346763486e-09,815.625
5,1,1,7.046923710199512e-10,843.75
5,1,2,7.052599875608934e-10,843.75
5,1,3,1.0278956140963612e-09,843.75
5,1,4,3.7270239998217205e-09,843.75
5,1,1,7.085294796951056e-10,871.875
5,1,2,7.093904130868391e-10,871.875
5,1,3,1.0597010561928517e-09,871.875
5,1,4,3.933510510641751e-09,871.875
5,1,1,7.104514016887843e-10,900.0
5,1,2,7.111149327189544e-10,900.0
5,1,3,1.0229543594282328e-09,900.0
5,1,4,4.266199637484796e-09,900.0
5,1,1,7.085991802812551e-10,928.125
5,1,2,7.089467030116003e-10,928.125
5,1,3,1.0281442177758351e-09,928.125
5,1,4,4.203336092419537e-09,928.125
5,1,1,7.06289358498343e-10,956.25
5,1,2,7.066110621249554e-10,956.25
5,1,3,1.0990125507992716e-09,956.25
5,1,4,4.264829890450339e-09,956.25
5,1,1,7.057025327435867e-10,984.375
5,1,2,7.062496480423661e-10,984.375
5,1,3,1.1386305593544408e-09,984.375
5,1,4,4.680350937016707e-09,984.375
5,1,1,7.064815552514099e-10,1012.5
5,1,2,7.070428845483377e-10,1012.5
5,1,3,1.1141461435909152e-09,1012.5
5,1,4,4.795232207723225e-09,1012.5
5,1,1,7.073578181654346e-10,1040.625
5,1,2,7.078619110405929e-10,1040.625
5,1,3,1.1105166885207911e-09,1040.625
