InnerIters,OuterIters,PicardIters,ResidualReductions,SimTime
5,1,1,6.626039954783889e-11,28.125
5,1,2,2.004929655380728e-08,28.125
5,1,3,6.982099452351859e-11,28.125
5,1,4,1.1239640856050221e-08,28.125
5,1,1,7.099950480957966e-11,56.25
5,1,2,7.096315446435251e-11,56.25
5,1,3,4.687857238587152e-09,56.25
5,1,4,2.78291782074817e-08,56.25
5,1,1,7.232873363243762e-11,84.375
5,1,2,7.226951462051209e-11,84.375
5,1,3,3.901557607397503e-09,84.375
5,1,4,2.1996254359023132e-08,84.375
5,1,1,7.168576753622514e-11,112.5
5,1,2,7.157881036070113e-11,112.5
5,1,3,3.4590538335341907e-09,112.5
5,1,4,2.3782608073222444e-08,112.5
5,1,1,6.85346854984196e-11,140.625
5,1,2,6.83900771591467e-11,140.625
5,1,3,3.428432280595552e-09,140.625
5,1,4,3.257094195038539e-08,140.625
5,1,1,6.184171892793164e-11,168.75
5,1,2,6.171376828651364e-11,168.75
5,1,3,3.6038025101408533e-09,168.75
5,1,4,3.985022971999148e-08,168.75
5,1,1,5.771532762612923e-11,196.875
5,1,2,5.771298705124055e-11,196.875
5,1,3,3.71623554564939e-09,196.875
5,1,4,3.311618066502614e-08,196.875
5,1,1,6.232465571324865e-11,225.0
5,1,2,6.226204398619608e-11,225.0
5,1,3,3.5520729495426074e-09,225.0
5,1,4,2.806924976042252e-08,225.0
5,1,1,6.581315149341143e-11,253.125
5,1,2,6.566874133642921e-11,253.125
5,1,3,3.3081046570209345e-09,253.125
5,1,4,2.7557907653808146e-08,253.125
5,1,1,6.600951804923431e-11,281.25
5,1,2,6.584463174165782e-11,281.25
5,1,3,3.2318290043715677e-09,281.25
5,1,4,3.089478532487861e-08,281.25
5,1,1,6.380757883133822e-11,309.375
5,1,2,6.36643930915464e-11,309.375
5,1,3,3.3155609879527455e-09,309.375
5,1,4,3.615118476286465e-08,309.375
5,1,1,6.011877217508886e-11,337.5
5,1,2,6.000853706283611e-11,337.5
5,1,3,3.4780175173448194e-09,337.5
5,1,4,3.6924436237024105e-08,337.5
5,1,1,5.729492535626133e-11,365.625
5,1,2,5.725876080908307e-11,365.625
5,1,3,3.4724283362294e-09,365.625
5,1,4,3.2694918564950425e-08,365.625
5,1,1,5.837947572433175e-11,393.75
5,1,2,5.841835253975131e-11,393.75
5,1,3,3.3376435002083924e-09,393.75
5,1,4,3.045529440857491e-08,393.75
5,1,1,6.096516192156822e-11,421.875
5,1,2,6.099220775223565e-11,421.875
5,1,3,3.2196628263050136e-09,421.875
5,1,4,3.185921313836518e-08,421.875
5,1,1,6.208688455502886e-11,450.0
5,1,2,6.208327830468779e-11,450.0
5,1,3,3.241839266636102e-09,450.0
5,1,4,3.653767550443934e-08,450.0
5,1,1,6.185261723447071e-11,478.125
5,1,2,6.183442779978002e-11,478.125
5,1,3,3.367777164400426e-09,478.125
5,1,4,3.907395532209623e-08,478.125
5,1,1,6.13178949976901e-11,506.25
5,1,2,6.12708846886535e-11,506.25
